,ROUTE,Number_of_Trips,Average_Actual_distance_to_destination,#source_states,#destination_states,destination_states,source_states,source_cities,route_type,destination_cities
310,Murbad Asangaon Bhiwandi -- Asangaon Bhiwandi Murbad,16.0,72.12899703285329,1,1,Maharashtra,Maharashtra,Murbad Asangaon Bhiwandi,Carting,Asangaon Bhiwandi Murbad
311,Gurgaon -- Noida,16.0,64.1285982709046,1,1,Uttar Pradesh,Haryana,Gurgaon,Carting,Noida
312,Kottayam Haripad Alappuzha Tiruvalla Kozhenchery -- Tiruvalla Alappuzha Kottayam Kozhenchery Haripad,16.0,66.3903789814223,1,1,Kerala,Kerala,Kottayam Haripad Alappuzha Tiruvalla Kozhenchery,Carting,Tiruvalla Alappuzha Kottayam Kozhenchery Haripad
313,Bengaluru -- Bengaluru,16.0,31.806705196133457,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
314,Kolkata Bhubaneshwar -- Bhubaneshwar Bengaluru,16.0,1342.1430812668066,2,2,Orissa Karnataka,West Bengal Orissa,Kolkata Bhubaneshwar,FTL,Bhubaneshwar Bengaluru
315,Sonipat -- Gurgaon,16.0,72.1862975849824,1,1,Haryana,Haryana,Sonipat,Carting,Gurgaon
316,Jabalpur Lakhnadon Seoni Chhindwara Mandla -- Lakhnadon Seoni Chhindwara Mandla Jabalpur,16.0,250.87513898165153,1,1,Madhya Pradesh,Madhya Pradesh,Jabalpur Lakhnadon Seoni Chhindwara Mandla,FTL,Lakhnadon Seoni Chhindwara Mandla Jabalpur
317,Tinusukia DoomDooma Namsai Tezu Dibrugarh Chabua Roing -- DoomDooma Namsai Tezu Roing Chabua Tinusukia Dibrugarh,16.0,111.09854271072166,2,2,Assam Arunachal Pradesh,Assam Arunachal Pradesh,Tinusukia DoomDooma Namsai Tezu Dibrugarh Chabua Roing,Carting,DoomDooma Namsai Tezu Roing Chabua Tinusukia Dibrugarh
318,Delhi -- Gurgaon,16.0,33.64588925585234,1,1,Haryana,Delhi,Delhi,Carting,Gurgaon
319,Thiruvadanai Oriyur Manamelkudi Sivaganga -- Oriyur Manamelkudi Sivaganga Thiruvadanai,16.0,166.52760661714765,1,1,Tamil Nadu,Tamil Nadu,Thiruvadanai Oriyur Manamelkudi Sivaganga,Carting,Oriyur Manamelkudi Sivaganga Thiruvadanai
320,FBD -- Delhi,16.0,20.004977365122517,1,1,Delhi,Haryana,FBD,Carting,Delhi
321,Bengaluru -- BLR,16.0,34.7002288255731,1,1,Karnataka,Karnataka,Bengaluru,Carting,BLR
322,Sasaram Kanpur Kolkata Dhanbad -- Kanpur Gurgaon Dhanbad Sasaram,16.0,1028.0247258396525,4,4,Uttar Pradesh Haryana Jharkhand Bihar,Bihar Uttar Pradesh West Bengal Jharkhand,Sasaram Kanpur Kolkata Dhanbad,FTL,Kanpur Gurgaon Dhanbad Sasaram
323,"Suratgarh Srivijaynagar Hanumangarh RaisingNgr Pilibanga
 Anupgarh -- Srivijaynagar Anupgarh Pilibanga Hanumangarh Suratgarh
 RaisingNgr",16.0,144.65845307511267,1,1,Rajasthan,Rajasthan,"Suratgarh Srivijaynagar Hanumangarh RaisingNgr Pilibanga
 Anupgarh",Carting,"Srivijaynagar Anupgarh Pilibanga Hanumangarh Suratgarh
 RaisingNgr"
324,Gurgaon -- Delhi,16.0,50.31527124693009,1,1,Delhi,Haryana,Gurgaon,Carting,Delhi
325,Bhopal Sehore Ashta -- Sehore Ashta Bhopal,16.0,149.59955918677844,1,1,Madhya Pradesh,Madhya Pradesh,Bhopal Sehore Ashta,FTL,Sehore Ashta Bhopal
326,Bhiwandi Mumbai -- Mumbai Bhiwandi,16.0,38.68937778807034,1,1,Maharashtra,Maharashtra,Bhiwandi Mumbai,Carting,Mumbai Bhiwandi
327,Delhi -- Delhi,16.0,15.781446165119949,1,1,Delhi,Delhi,Delhi,Carting,Delhi
328,Dindigul Oddnchtram Palani Kodaikanal Batlagundu Vadipatti -- Oddnchtram Palani Kodaikanal Batlagundu Vadipatti Gujiliam,16.0,90.67099196899932,1,1,Tamil Nadu,Tamil Nadu,Dindigul Oddnchtram Palani Kodaikanal Batlagundu Vadipatti,FTL,Oddnchtram Palani Kodaikanal Batlagundu Vadipatti Gujiliam
329,Aluva Cochin Kunnathund -- Cochin Kunnathund Aluva,16.0,33.53805577723821,1,1,Kerala,Kerala,Aluva Cochin Kunnathund,Carting,Cochin Kunnathund Aluva
330,Mumbai -- Mumbai,16.0,14.217587126700314,1,1,Maharashtra,Hub Maharashtra,Mumbai,Carting,Mumbai
331,Gurgaon -- Kolkata,16.0,1300.5721606356,1,1,West Bengal,Haryana,Gurgaon,FTL,Kolkata
332,Gurgaon -- Jaipur,16.0,195.79729477121083,1,1,Rajasthan,Haryana,Gurgaon,FTL,Jaipur
333,Sonipat -- Gurgaon,16.0,72.30936411004608,1,1,Haryana,Haryana,Sonipat,Carting,Gurgaon
334,Bengaluru Kolhapur Surat -- Kolhapur Surat Ahmedabad,16.0,1110.015338675844,3,2,Maharashtra Gujarat,Karnataka Maharashtra Gujarat,Bengaluru Kolhapur Surat,FTL,Kolhapur Surat Ahmedabad
335,Pattukotai Peravurani Aranthangi Karaikudi Ponnamaravathi -- Peravurani Aranthangi Karaikudi Ponnamaravathi Pudukkotti,16.0,122.08983451868728,1,1,Tamil Nadu,Tamil Nadu,Pattukotai Peravurani Aranthangi Karaikudi Ponnamaravathi,FTL,Peravurani Aranthangi Karaikudi Ponnamaravathi Pudukkotti
336,Mumbai -- Mumbai,16.0,17.5812812832987,1,1,Maharashtra,Hub Maharashtra,Mumbai,Carting,Mumbai
337,Bhiwandi -- Pune,16.0,101.02663307832235,1,1,Maharashtra,Maharashtra,Bhiwandi,FTL,Pune
338,Durgapur Mejia Rghunthpur Hura Purulia Jhalda -- Mejia Rghunthpur Hura Purulia Jhalda Durgapur,16.0,249.7694877761138,1,1,West Bengal,West Bengal,Durgapur Mejia Rghunthpur Hura Purulia Jhalda,FTL,Mejia Rghunthpur Hura Purulia Jhalda Durgapur
339,Coimbatore Sathyamangalam Anthiyour Gobicheti -- Sathyamangalam Gobicheti Coimbatore Anthiyour,16.0,111.73236695847122,1,1,Tamil Nadu,Tamil Nadu,Coimbatore Sathyamangalam Anthiyour Gobicheti,Carting,Sathyamangalam Gobicheti Coimbatore Anthiyour
340,Faizabad Gosainganj -- Gosainganj Akbarpur,16.0,45.024980627081135,1,1,Uttar Pradesh,Uttar Pradesh,Faizabad Gosainganj,Carting,Gosainganj Akbarpur
341,Aurangabad Jalna Sillod -- Jalna Aurangabad Sillod,16.0,158.74477050986653,1,1,Maharashtra,Maharashtra,Aurangabad Jalna Sillod,Carting,Jalna Aurangabad Sillod
342,Gurgaon -- FBD,16.0,47.03877096615738,1,1,Haryana,Haryana,Gurgaon,Carting,FBD
343,Hyderabad -- Hyderabad,16.0,16.548425186590702,1,1,Telangana,Telangana,Hyderabad,Carting,Hyderabad
344,Delhi Janakpuri -- Janakpuri Delhi,16.0,19.02638806202009,1,1,Delhi,Delhi,Delhi Janakpuri,Carting,Janakpuri Delhi
345,GreaterThane -- Mumbai,16.0,20.530092845299183,1,1,Maharashtra,Maharashtra,GreaterThane,Carting,Mumbai
346,Chandigarh Patiala Malerkotla Sunam Nabha -- Patiala Malerkotla Sangrur Chandigarh Nabha Dhuri,15.0,128.4317688251243,1,1,Punjab,Punjab,Chandigarh Patiala Malerkotla Sunam Nabha,FTL,Patiala Malerkotla Sangrur Chandigarh Nabha Dhuri
347,Silchar Hailakandi Karimganj Badarpur -- Hailakandi Karimganj Badarpur Silchar,15.0,65.07218506168438,1,1,Assam,Assam,Silchar Hailakandi Karimganj Badarpur,FTL,Hailakandi Karimganj Badarpur Silchar
348,Jabalpur Sihora Katni Barhi -- Sihora Katni Barhi Jabalpur,15.0,96.00337763671834,1,1,Madhya Pradesh,Madhya Pradesh,Jabalpur Sihora Katni Barhi,FTL,Sihora Katni Barhi Jabalpur
349,Gurgaon -- Kolkata,15.0,1301.41031507001,1,1,West Bengal,Haryana,Gurgaon,FTL,Kolkata
350,Bengaluru Kurnool -- Kurnool Hyderabad Bengaluru,15.0,390.8920910626774,2,3,Andhra Pradesh Telangana Karnataka,Karnataka Andhra Pradesh,Bengaluru Kurnool,FTL,Kurnool Hyderabad Bengaluru
351,Anantapur Dharmavram Puttaprthi Kadiri Rayachoti Pulivendula -- Dharmavram Puttaprthi Kadiri Rayachoti Pulivendula Anantapur,15.0,260.00415314104146,1,1,Andhra Pradesh,Andhra Pradesh,Anantapur Dharmavram Puttaprthi Kadiri Rayachoti Pulivendula,FTL,Dharmavram Puttaprthi Kadiri Rayachoti Pulivendula Anantapur
352,Surendranagar Limbdi Chotila -- Limbdi Botad Surendranagar,15.0,110.65250329445163,1,1,Gujarat,Gujarat,Surendranagar Limbdi Chotila,FTL,Limbdi Botad Surendranagar
353,Bengaluru -- Bengaluru,15.0,31.438253600509697,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
354,Gurgaon -- FBD,15.0,47.23437674214619,1,1,Haryana,Haryana,Gurgaon,Carting,FBD
355,Jaipur -- Jaipur,15.0,13.208352692276256,1,1,Rajasthan,Rajasthan,Jaipur,Carting,Jaipur
356,Bhiwandi -- Mumbai,15.0,22.6311074150312,1,1,Maharashtra,Maharashtra,Bhiwandi,Carting,Mumbai
357,CCU -- Kolkata,15.0,16.547281612817137,1,1,West Bengal,West Bengal,CCU,Carting,Kolkata
358,Gurgaon -- Faridabad,15.0,46.91926804386735,1,1,Haryana,Haryana,Gurgaon,Carting,Faridabad
359,Bengaluru -- Bengaluru,15.0,28.053639030379397,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
360,Pune -- Bhiwandi,15.0,100.7431397746471,1,1,Maharashtra,Maharashtra,Pune,FTL,Bhiwandi
361,Nawanshahr Machhiwara Ludhiana Garhshnker -- Machhiwara Ludhiana Nawanshahr,15.0,67.94599295693298,1,1,Punjab,Punjab,Nawanshahr Machhiwara Ludhiana Garhshnker,FTL,Machhiwara Ludhiana Nawanshahr
362,Gurgaon -- Delhi,15.0,46.2766847381683,1,1,Delhi,Haryana,Gurgaon,Carting,Delhi
363,Pune -- Bhiwandi,15.0,101.13309037977587,1,1,Maharashtra,Maharashtra,Pune,FTL,Bhiwandi
364,Hubli Shimoga Sirsi Sagara -- Sirsi Bengaluru Sagara Shimoga,15.0,316.57356711316214,1,1,Karnataka,Karnataka,Hubli Shimoga Sirsi Sagara,FTL,Sirsi Bengaluru Sagara Shimoga
365,Kharagpur ChandroknaRD AmaDubi -- Jhargram Kharagpur ChandroknaRD AmaDubi,15.0,103.7837061017094,1,1,West Bengal,West Bengal,Kharagpur ChandroknaRD AmaDubi,FTL,Jhargram Kharagpur ChandroknaRD AmaDubi
366,Goa Karwar Mallapur Dandeli Hubli -- Karwar Mallapur Dandeli Hubli Goa,15.0,296.68643171921013,2,2,Karnataka Goa,Goa Karnataka,Goa Karwar Mallapur Dandeli Hubli,FTL,Karwar Mallapur Dandeli Hubli Goa
367,Pune -- Goa,15.0,361.6889810413748,1,1,Goa,Maharashtra,Pune,FTL,Goa
368,Bengaluru Gurgaon -- Gurgaon Chandigarh,15.0,1869.5466504939009,2,2,Haryana Punjab,Karnataka Haryana,Bengaluru Gurgaon,FTL,Gurgaon Chandigarh
369,Mumbai -- Mumbai LowerParel,15.0,15.530596386922346,1,1,Maharashtra,Hub Maharashtra,Mumbai,Carting,Mumbai LowerParel
370,Jaipur -- Jaipur Ambabadi,15.0,20.85600620747928,1,1,Rajasthan,Rajasthan,Jaipur,Carting,Jaipur Ambabadi
371,Delhi -- FBD,15.0,20.197327104048632,1,1,Haryana,Delhi,Delhi,Carting,FBD
372,Villupuram Panruti Neyveli Virudhchlm Pennadam Chinnasalem -- Panruti Neyveli Virudhchlm Pennadam Chinnasalem Villupuram,15.0,202.1608529374007,1,1,Tamil Nadu,Tamil Nadu,Villupuram Panruti Neyveli Virudhchlm Pennadam Chinnasalem,Carting,Panruti Neyveli Virudhchlm Pennadam Chinnasalem Villupuram
373,MAA -- Chennai,15.0,31.733481286024144,1,1,Tamil Nadu,Tamil Nadu,MAA,Carting,Chennai
374,Mumbai -- Mumbai,15.0,10.137218510904153,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Mumbai
375,Gurgaon -- Chandigarh,15.0,236.85685494646415,1,1,Punjab,Haryana,Gurgaon,FTL,Chandigarh
376,Bengaluru -- Bengaluru,15.0,29.08996932963874,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
377,Kolkata Midnapore Kharagpur -- Kharagpur Kolkata Midnapore,15.0,196.466268499794,1,1,West Bengal,West Bengal,Kolkata Midnapore Kharagpur,FTL,Kharagpur Kolkata Midnapore
378,Jassur Dalhousie Chamba Pathankot -- Dalhousie Chamba Pathankot Jassur,15.0,85.49968778191774,2,2,Himachal Pradesh Punjab,Himachal Pradesh Punjab,Jassur Dalhousie Chamba Pathankot,FTL,Dalhousie Chamba Pathankot Jassur
379,Ahmedabad -- Ahmedabad,15.0,19.27907306837316,1,1,Gujarat,Gujarat,Ahmedabad,Carting,Ahmedabad
380,Hyderabad -- Hyderabad,15.0,26.808461863457975,1,1,Telangana,Telangana,Hyderabad,Carting,Hyderabad
381,MAA Chennai -- Chennai MAA,15.0,36.622346361755326,1,1,Tamil Nadu,Tamil Nadu,MAA Chennai,Carting,Chennai MAA
382,Gurgaon -- Noida,15.0,63.56973464767622,1,1,Uttar Pradesh,Haryana,Gurgaon,Carting,Noida
383,Pune -- Pune,15.0,21.41720350038381,1,1,Maharashtra,Maharashtra,Pune,Carting,Pune
384,Noida -- Noida,15.0,13.897370706822889,1,1,Uttar Pradesh,Uttar Pradesh,Noida,Carting,Noida
385,Kolkata Bardhaman Rupnarayanpur Durgapur Asansol -- Bardhaman Durgapur Kolkata Rupnarayanpur Asansol,15.0,281.203394423708,1,1,West Bengal,West Bengal,Kolkata Bardhaman Rupnarayanpur Durgapur Asansol,FTL,Bardhaman Durgapur Kolkata Rupnarayanpur Asansol
386,Bengaluru -- Bengaluru,15.0,17.35567115028673,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
387,Patran Chandigarh Samana -- Chandigarh Samana Patran,15.0,110.11372142898948,1,1,Punjab,Punjab,Patran Chandigarh Samana,FTL,Chandigarh Samana Patran
388,Vellore Arani Polur Chetpet -- Arani Polur Chetpet Vellore,15.0,118.40186393891462,1,1,Tamil Nadu,Tamil Nadu,Vellore Arani Polur Chetpet,FTL,Arani Polur Chetpet Vellore
389,Ahmedabad Surat -- Surat Bengaluru,15.0,1163.7456074522574,1,2,Gujarat Karnataka,Gujarat,Ahmedabad Surat,FTL,Surat Bengaluru
390,Udaipur Chittaurgarh Rajsamand Bhilwara -- Chittaurgarh Bhilwara Udaipur Rajsamand,15.0,208.2292295751466,1,1,Rajasthan,Rajasthan,Udaipur Chittaurgarh Rajsamand Bhilwara,FTL,Chittaurgarh Bhilwara Udaipur Rajsamand
391,Dibrugarh Khonsa -- Duliajan Dibrugarh,15.0,78.44001487864534,2,1,Assam,Assam Arunachal Pradesh,Dibrugarh Khonsa,Carting,Duliajan Dibrugarh
392,MAA Bengaluru Pune -- Bengaluru Pune Bhiwandi,15.0,977.6074612089338,3,2,Karnataka Maharashtra,Tamil Nadu Karnataka Maharashtra,MAA Bengaluru Pune,FTL,Bengaluru Pune Bhiwandi
393,Gurgaon -- Bhubaneshwar,15.0,1269.6663355738553,1,1,Orissa,Haryana,Gurgaon,FTL,Bhubaneshwar
394,Dibrugarh Digboi Margherita -- Digboi Margherita Dibrugarh,15.0,128.59205514963466,1,1,Assam,Assam,Dibrugarh Digboi Margherita,Carting,Digboi Margherita Dibrugarh
395,Bengaluru Bhopal -- Bhopal Gurgaon,15.0,1579.3668838269311,2,2,Madhya Pradesh Haryana,Karnataka Madhya Pradesh,Bengaluru Bhopal,FTL,Bhopal Gurgaon
396,Mumbai -- Mumbai,15.0,10.334462046601185,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Mumbai
397,Mumbai -- Bhiwandi,15.0,16.395110585066558,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Bhiwandi
398,Kolkata -- Kolkata,15.0,20.29695835147122,1,1,West Bengal,West Bengal,Kolkata,Carting,Kolkata
399,Ranchi Ramgarh Hazaribag JhumriTlya -- Ramgarh Hazaribag JhumriTlya Gurgaon,15.0,1016.3001655808439,1,2,Jharkhand Haryana,Jharkhand,Ranchi Ramgarh Hazaribag JhumriTlya,FTL,Ramgarh Hazaribag JhumriTlya Gurgaon
400,Delhi Gurgaon -- Gurgaon Hyderabad,15.0,1108.6709047417512,2,2,Haryana Telangana,Delhi Haryana,Delhi Gurgaon,FTL,Gurgaon Hyderabad
401,Silvassa -- Vapi,15.0,14.349975927453377,1,1,Gujarat,Dadra and Nagar Haveli,Silvassa,Carting,Vapi
402,MAA Pondicherry Kalpakkam Marakkanam -- Pondicherry Marakkanam MAA Kalpakkam,15.0,204.6226960698739,2,2,Pondicherry Tamil Nadu,Tamil Nadu Pondicherry,MAA Pondicherry Kalpakkam Marakkanam,FTL,Pondicherry Marakkanam MAA Kalpakkam
403,MAA Nellore -- Nellore Hyderabad,15.0,474.09728412338535,2,2,Andhra Pradesh Telangana,Tamil Nadu Andhra Pradesh,MAA Nellore,FTL,Nellore Hyderabad
404,Gurgaon -- Sonipat,14.0,70.07480615052259,1,1,Haryana,Haryana,Gurgaon,Carting,Sonipat
405,Del -- Delhi,14.0,10.439840206086535,1,1,Delhi,Delhi,Del,Carting,Delhi
406,Jasai Mumbai -- Mumbai Jasai,14.0,32.36719978082075,1,1,Maharashtra,Maharashtra,Jasai Mumbai,Carting,Mumbai Jasai
407,Bengaluru Hiriyur Chitradurga Davangere -- Hiriyur Chitradurga Davangere Hubli,14.0,313.8994934963512,1,1,Karnataka,Karnataka,Bengaluru Hiriyur Chitradurga Davangere,FTL,Hiriyur Chitradurga Davangere Hubli
408,Mumbai -- Mumbai,14.0,15.530817873659897,1,1,Maharashtra,Hub Maharashtra,Mumbai,Carting,Mumbai
409,Bhiwandi -- Pune,14.0,101.234824973833,1,1,Maharashtra,Maharashtra,Bhiwandi,FTL,Pune
410,Thamarassery SultnBthry -- SultnBthry Bengaluru,14.0,211.69929200913018,1,2,Kerala Karnataka,Kerala,Thamarassery SultnBthry,FTL,SultnBthry Bengaluru
411,Gulbarga Sindagi Indi Aland -- Sindagi Indi Aland Gulbarga,14.0,199.27552016931665,1,1,Karnataka,Karnataka,Gulbarga Sindagi Indi Aland,Carting,Sindagi Indi Aland Gulbarga
412,Ahmedabad Udaipur Pali -- Udaipur Pali Jaipur,14.0,523.1092300507165,2,1,Rajasthan,Gujarat Rajasthan,Ahmedabad Udaipur Pali,FTL,Udaipur Pali Jaipur
413,Gurgaon -- Delhi,14.0,46.56343375170537,1,1,Delhi,Haryana,Gurgaon,Carting,Delhi
414,Bhatpara Mungeli -- Mungeli Kawardha,14.0,72.89416394236072,1,1,Chhattisgarh,Chhattisgarh,Bhatpara Mungeli,Carting,Mungeli Kawardha
415,Ambasamdrm Tirunelveli Tenkasi -- Tirunelveli Tenkasi Ambasamdrm,14.0,82.52716767698314,1,1,Tamil Nadu,Tamil Nadu,Ambasamdrm Tirunelveli Tenkasi,FTL,Tirunelveli Tenkasi Ambasamdrm
416,Ranchi -- Jamshedpur,14.0,100.71648570951034,1,1,Jharkhand,Jharkhand,Ranchi,FTL,Jamshedpur
417,Gwalior Morena Bhind Ambah -- Morena Ambah Gwalior Bhind,14.0,130.8309965690633,1,1,Madhya Pradesh,Madhya Pradesh,Gwalior Morena Bhind Ambah,FTL,Morena Ambah Gwalior Bhind
418,Pune -- Bhiwandi,14.0,100.98076351049384,1,1,Maharashtra,Maharashtra,Pune,FTL,Bhiwandi
419,Gonda Tulsipur Balrampur -- Balrampur Gonda Tulsipur,14.0,81.36526421213982,1,1,Uttar Pradesh,Uttar Pradesh,Gonda Tulsipur Balrampur,Carting,Balrampur Gonda Tulsipur
420,Surat -- Surat,14.0,14.635152429640042,1,1,Gujarat,Gujarat,Surat,Carting,Surat
421,Bengaluru -- Bengaluru,14.0,28.08171649009281,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
422,Mysore Hunsur Gonikoppal HDKote -- Krishnarajngr Gonikoppal HDKote Mysore,14.0,123.87644468408429,1,1,Karnataka,Karnataka,Mysore Hunsur Gonikoppal HDKote,FTL,Krishnarajngr Gonikoppal HDKote Mysore
423,Chandigarh Kathua Jammu Samba -- Kathua Jammu Samba Chandigarh,14.0,406.5740439312577,2,2,Jammu & Kashmir Punjab,Punjab Jammu & Kashmir,Chandigarh Kathua Jammu Samba,FTL,Kathua Jammu Samba Chandigarh
424,Bhavnagar Amreli Palitana -- Amreli Bhavnagar,14.0,111.13376221994797,1,1,Gujarat,Gujarat,Bhavnagar Amreli Palitana,FTL,Amreli Bhavnagar
425,Hyderabad Kamareddy Karimnagar -- Kamareddy Hyderabad Karimnagar,14.0,172.1458856006736,1,1,Telangana,Telangana,Hyderabad Kamareddy Karimnagar,FTL,Kamareddy Hyderabad Karimnagar
426,Gurgaon -- Jaipur,14.0,195.82308298660905,1,1,Rajasthan,Haryana,Gurgaon,FTL,Jaipur
427,Gwalior Guna -- Gurgaon Gwalior,14.0,398.47261779930017,1,2,Haryana Madhya Pradesh,Madhya Pradesh,Gwalior Guna,FTL,Gurgaon Gwalior
428,"Guwahati LakhimpurN Dhemaji Likabali Tezpur Pasighat Gohpur
 Mangaldoi Dhekiajuli Bishwanath Naharlagun Silapathar Nirjuli -- Tezpur Dhemaji Silapathar Pasighat Mangaldoi Itanagar
 Gohpur Bishwanath Dhekiajuli Guwahati LakhimpurN",14.0,281.59648637447793,2,2,Assam Arunachal Pradesh,Assam Arunachal Pradesh,"Guwahati LakhimpurN Dhemaji Likabali Tezpur Pasighat Gohpur
 Mangaldoi Dhekiajuli Bishwanath Naharlagun Silapathar Nirjuli",FTL,"Tezpur Dhemaji Silapathar Pasighat Mangaldoi Itanagar
 Gohpur Bishwanath Dhekiajuli Guwahati LakhimpurN"
429,Bengaluru -- Gurgaon,14.0,1694.5843885707397,1,1,Haryana,Karnataka,Bengaluru,FTL,Gurgaon
430,Ludhiana Moga Muktsar -- Moga Muktsar Bhatinda,14.0,154.41869281062313,1,1,Punjab,Punjab,Ludhiana Moga Muktsar,FTL,Moga Muktsar Bhatinda
431,Hassan Tiptur Arsikere nan Mudigere Sakleshpur Chikmagalur -- Tiptur Arsikere nan Chikmagalur Sakleshpur Hassan Mudigere,14.0,139.80738741360574,1,1,Karnataka nan,Karnataka nan,Hassan Tiptur Arsikere nan Mudigere Sakleshpur Chikmagalur,FTL,Tiptur Arsikere nan Chikmagalur Sakleshpur Hassan Mudigere
432,Bhubaneshwar Jaleswar Balasore Basta Bhadrak Soro -- Bhadrak Kolkata Basta Soro Balasore Jaleswar,14.0,193.02324346162368,1,2,Orissa West Bengal,Orissa,Bhubaneshwar Jaleswar Balasore Basta Bhadrak Soro,FTL,Bhadrak Kolkata Basta Soro Balasore Jaleswar
433,Gurgaon -- MAA,14.0,1721.2807525756527,1,1,Tamil Nadu,Haryana,Gurgaon,FTL,MAA
434,MAA -- Chennai,14.0,25.341723083694593,1,1,Tamil Nadu,Tamil Nadu,MAA,Carting,Chennai
435,Noida Dadri -- Dadri Noida,14.0,22.3857531337316,1,1,Uttar Pradesh,Uttar Pradesh,Noida Dadri,Carting,Dadri Noida
436,Nanded Loha Gangakher Parli Ambajogai -- Loha Gangakher Parli Ambajogai Pune,14.0,324.90057438087814,1,1,Maharashtra,Maharashtra,Nanded Loha Gangakher Parli Ambajogai,FTL,Loha Gangakher Parli Ambajogai Pune
437,Bengaluru -- Bengaluru,14.0,28.557876447270527,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
438,Anand Khambhat -- Khambhat Anand,14.0,72.97508953784781,1,1,Gujarat,Gujarat,Anand Khambhat,Carting,Khambhat Anand
439,MAA -- Chennai,14.0,24.787128805487647,1,1,Tamil Nadu,Tamil Nadu,MAA,Carting,Chennai
440,Bhiwandi Mumbai -- Mumbai Bhiwandi,14.0,24.119573518437612,1,1,Maharashtra,Maharashtra,Bhiwandi Mumbai,Carting,Mumbai Bhiwandi
441,Kolkata Hooghly Hoogly -- Hooghly Hoogly Kolkata,14.0,44.47583942691595,1,1,West Bengal,West Bengal,Kolkata Hooghly Hoogly,Carting,Hooghly Hoogly Kolkata
442,Bengaluru Hoskote -- Hoskote Bengaluru,14.0,16.62718244230071,1,1,Karnataka,Karnataka,Bengaluru Hoskote,Carting,Hoskote Bengaluru
443,Del -- Gurgaon,14.0,48.632496276966336,1,1,Haryana,Delhi,Del,Carting,Gurgaon
444,Hyderabad -- Hyderabad,14.0,36.00980268160641,1,1,Telangana,Telangana,Hyderabad,Carting,Hyderabad
445,Bengaluru -- Bengaluru,14.0,18.59239653571217,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
446,Vellore Bengaluru -- MAA Bengaluru Vellore,14.0,127.21125918466498,2,2,Tamil Nadu Karnataka,Tamil Nadu Karnataka,Vellore Bengaluru,FTL,MAA Bengaluru Vellore
447,Allahabad Soraon Phulpur -- Allahabad Soraon Phulpur,14.0,86.78181438079972,1,1,Uttar Pradesh,Uttar Pradesh,Allahabad Soraon Phulpur,Carting,Allahabad Soraon Phulpur
448,Bengaluru Tirupur Krishnagiri -- Bengaluru Coimbatore Dharmapuri Krishnagiri,14.0,72.41393995320746,2,2,Karnataka Tamil Nadu,Karnataka Tamil Nadu,Bengaluru Tirupur Krishnagiri,FTL,Bengaluru Coimbatore Dharmapuri Krishnagiri
449,Kanpur -- Kanpur,14.0,24.281263767093016,1,1,Uttar Pradesh,Uttar Pradesh,Kanpur,Carting,Kanpur
450,Ghumarwin Jahu JognderNgr -- Jahu JognderNgr BilaspurHP,14.0,117.85020813488437,1,1,Himachal Pradesh,Himachal Pradesh,Ghumarwin Jahu JognderNgr,FTL,Jahu JognderNgr BilaspurHP
451,Delhi -- Delhi,14.0,18.48752029698326,1,1,Delhi,Delhi,Delhi,Carting,Delhi
452,Angamaly Chalakudy Irinjlkuda -- Chalakudy Irinjlkuda Aluva,14.0,37.093860822539625,1,1,Kerala,Kerala,Angamaly Chalakudy Irinjlkuda,Carting,Chalakudy Irinjlkuda Aluva
453,Bengaluru -- Bengaluru,14.0,17.4267276265842,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
454,Bengaluru -- HBR,14.0,19.70486822609697,1,1,Karnataka,Karnataka,Bengaluru,Carting,HBR
455,Bengaluru -- Bengaluru,14.0,39.88769978598908,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
456,Chandigarh -- Chandigarh,14.0,31.654540646976763,1,1,Chandigarh,Punjab,Chandigarh,Carting,Chandigarh
457,Chandigarh -- Gurgaon,14.0,236.67605936352408,1,1,Haryana,Punjab,Chandigarh,FTL,Gurgaon
458,Chennai -- Chennai,14.0,37.4408365687239,1,1,Tamil Nadu,Tamil Nadu,Chennai,Carting,Chennai
459,Vapi -- Silvassa,14.0,14.405526652425852,1,1,Dadra and Nagar Haveli,Gujarat,Vapi,Carting,Silvassa
460,Kanker Mahasamund Durg -- Mahasamund Durg Kanker,13.0,108.42676748912719,1,1,Chhattisgarh,Chhattisgarh,Kanker Mahasamund Durg,FTL,Mahasamund Durg Kanker
461,Jaipur -- Gurgaon,13.0,195.91022795275063,1,1,Haryana,Rajasthan,Jaipur,FTL,Gurgaon
462,Hyderabad -- Hyderabad,13.0,18.54367414064274,1,1,Telangana,Telangana,Hyderabad,Carting,Hyderabad
